ID,Track,Program,Project Name,Description,Sector,Location,Lead Organisation,Financial Instrument,Funding Source (raw),Partners,Capital (AUD m),Start Year,End Year,Phase,Status,Funding Outcome,Hazard (recorded),Hazard Group,Hazard Source,Duplicate Status,Duplicate Of,Notes
E01,Existing / Committed,,Water Storage Tank Upgrade,"Expanding Storage Capacity. Rehab 3 million L water storage tank and 2 x 300,000 L water treatment tanks for B-13 site - materials on island - need a new contractor",Water & Sanitation,Aiwo,NUC-W,Grant,TBD,,350,2025,,,Planned,Seeking funding,Drought,Drought & water security,Recorded in source,Possible overlap - review,Upgrade Meneng (B13) Water Storage Tank,DATA QUALITY: recorded as $350m but describes a 3 million litre tank rehab - the scale is suspect (possibly $0.35m). Verify against source.
E02,Existing / Committed,,Fisheries Infrastructure (AIWO Boat Ramp Rehab),,Coastal & Marine,,,,,,,,,,,Unspecified,,Coastal erosion & sea-level rise,Auto-tagged (sector/keywords),,,
E03,Existing / Committed,Coastal Protection Program,Coastal Protection Program (CPP),"Multi-year program of constructing & renewing coastal sea defenses (sea-walls, revetments) around Nauru",Coastal & Marine,Nationwide,Department of Infrastructure Development (DoID),Grant (proposed),TBD,,2,2025,,,Planned,Seeking funding,Sea-level Rise/Coastal Erosion,Coastal erosion & sea-level rise,Recorded in source,,,
E04,Existing / Committed,,Renewal of Seawalls – Aiwo Harbor (Hotel) Section,Reconstruct 100 m of failing sea-wall near Aiwo harbour,Coastal & Marine,,Department of Infrastructure Development (DoID),,,,,2025,,,,Unspecified,,Coastal erosion & sea-level rise,Auto-tagged (sector/keywords),,,
E05,Existing / Committed,,Renewal of Seawalls – North of New Port (82 m),Reconstruct 82m of seawall to prevent coastal erosion,Governance & Finance,,Department of Infrastructure Development (DoID),,,,,2025,,,,Unspecified,,Enabling & capacity (cross-hazard),Auto-tagged (sector/keywords),,,
E06,Existing / Committed,,Renewal of Seawalls – North from New Port (386 m),Reconstruct 386 of seawall for costline stabilisation,Governance & Finance,,Department of Infrastructure Development (DoID),,,,2.4,2025,,,,Unspecified,,Enabling & capacity (cross-hazard),Auto-tagged (sector/keywords),,,
E07,Existing / Committed,,Renewal of Seawalls – Menen Hotel (414 m),Reconstruct 144m of seawall to protect facilities and coastal road,Governance & Finance,,Department of Infrastructure Development (DoID),,,,2.4,2025,,,,Unspecified,,Enabling & capacity (cross-hazard),Auto-tagged (sector/keywords),,,
E08,Existing / Committed,,New Seawalls – Anetan Locations,Construct new seawall segments,Coastal & Marine,,Department of Infrastructure Development (DoID),,,,,2025,,,,Unspecified,,Coastal erosion & sea-level rise,Auto-tagged (sector/keywords),,,
E09,Existing / Committed,,New Seawalls – Anibare Locations,Construct new seawall segments,Coastal & Marine,,Department of Infrastructure Development (DoID),,,,,2025,,,,Unspecified,,Coastal erosion & sea-level rise,Auto-tagged (sector/keywords),,,
E10,Existing / Committed,,Repairs to Existing Seawalls (Riprap),Reinforce/repair deteriorating rock revetments,Coastal & Marine,,Department of Infrastructure Development (DoID),,,,,,,,,Unspecified,,Coastal erosion & sea-level rise,Auto-tagged (sector/keywords),,,
E11,Existing / Committed,,Upgrade Meneng (B13) Water Storage Tank,Increase capacity to improve island reserves,Water & Sanitation,Meneng District,Nauru Utilities Corporation (NUC - Water),Grant/Loan (Planned),TBD,,42,,,,Pipeline,Seeking funding,Drought,Drought & water security,Recorded in source,Possible overlap - review,Water Storage Tank Upgrade,
E12,Existing / Committed,,Water Supply Pipeline (Topside Relocation / Higher Ground),Install robust network of water supply pipelines to Topside for HGI,Water & Sanitation,"Topside Plateau, Central Nauru",Nauru Utilities Corporation (NUC - Water),Grant/Loan (Planned),NSRUDP,,26.2,,,,Pipeline,Seeking funding,Drought,Drought & water security,Recorded in source,Possible overlap - review,RONAdapt II program: Nauru Higher Ground Initiative for Enhanced Climate Resilience,
E13,Existing / Committed,,Model impacts of sea level rise and saltwater intrusion into groundwater (2030),Technical and financial support,Water & Sanitation,Nauru,,Technical Assistance,,,,2026,,,Proposed,Seeking funding,"Water insecurity, drought",Drought & water security,Recorded in source,,,
E14,Existing / Committed,Resilient Coastal Fisheries and Aquaculture in Nauru,Develop Milkfish farming in support of the development and expansion of aquaculture,NFMRA is working to identify possible new partners to provide the necessary technical and financial assistance. The efforts will be aided by the Resilient Coastal Fisheries and Aquaculture in Nauru Project,Agriculture & Food,, ,Grant,Adaptation Fund,,8,2026,,,Proposed,Seeking funding,Food insecurity,Food insecurity,Recorded in source,,,
E15,Existing / Committed,,Nauru Climate Resilient Port Development (Aiwo),"Design & Construction of a new, climate-resilient deep-water port facility, replacing inefficient mooring systems",Coastal & Marine,Aiwo,Nauru Maritime & Port Authority,Grant & Loan,Green Climate Fund; ADB,,74.2,2024,,,Near completion,Funded,Coastal/Flooding/Storm Surge,Coastal erosion & sea-level rise,Recorded in source,,,
E16,Existing / Committed,,Higher Ground Initiative (HGI),Multi-phase relocation program: develop new urban area (“Topside”) to relocate population/infrastructure from climate-vulnerable coastal zones,Housing & Community,"Topside Plateau, Central Nauru",Department of Climate Change & Natural Resilience (DCCNR),Multi-donor Grants (planned),GCF; International Partners (seeking),,300,,,,Planned,Seeking funding,Sea-level Rise/Coastal Flooding,General climate resilience,Recorded in source,Confirmed overlap - excluded from adjusted totals,RONAdapt II program: Nauru Higher Ground Initiative for Enhanced Climate Resilience,"NDC placeholder commitment ($300m, source marked ""**""). The same initiative is costed in detail in the RONAdapt II pipeline, so this row is netted out of the adjusted combined total to avoid double counting."
E17,Existing / Committed,,Smart Village Pilot (Topside),Construct pilot climate-resilient housing units on rehabilitated Topside plateau to jumpstart HGI relocation,Housing & Community,"Topside Plateau, Central Nauru",Department of Infrastructure Development (DoID),Grant (proposed),Seeking donors,,25.0,,,,Proposed,Seeking funding,Sea-level Rise/Coastal Flooding,General climate resilience,Recorded in source,,,
E18,Existing / Committed,,Nauru Sustainable & Resilient Urban Development (NSRUDP),"Integrated urban development program for Nauru (water, sanitation, waste, drainage, etc.), aligned with HGI and NIISP priorities. ",Housing & Community,Nationwide,Department of Infrastructure Development (DoID),Grant & Loan (planned),ADB (proposed),,80,,,,Pipeline,Seeking funding,Sea-level Rise/Drought,General climate resilience,Recorded in source,,,
E19,Existing / Committed,,Meneng (Menen) Farm Extension,"Expansion of Meneng agricultural farm area, including land rehabilitation and irrigation to boost local food production",Agriculture & Food,Meneng District,DEMA,Loan (proposed),TBD,,2,2025,,,Planned,Seeking funding,Food Insecurity/Drought,Food insecurity,Recorded in source,,,
E20,Existing / Committed,,Nauru Topside Land Rehabilitation (Initial),Pilot efforts to rehabilitate small sections of phosphate-mined Topside land for agriculture & settlement,Housing & Community,"Topside Plateau, Central Nauru",Nauru Rehab Corporation (NRC),Grant (SIDS regional),SPC; Govt of Nauru,,0.35,2023,,,Ongoing,Funded,Land Degradation,General climate resilience,Recorded in source,,,
E21,Existing / Committed,Nauru Sustainable Urban Development Program,Nauru Sustainable Urban Development Program,"Implement improvements in water supply, sanitation and solid waste management from Master Plan",Housing & Community,,DCCNR,,,,60.1563,2025,,,Appraising,Seeking funding,,General climate resilience,Auto-tagged (sector/keywords),,,
E22,Existing / Committed,Nauru Sustainable Urban Development Program,NSUDP: Water Supply Pipeline,Reticulation and Reservoirs for households,Governance & Finance,,NUC-W,,,,37.4,2025,,,Appraising,Seeking funding,,Enabling & capacity (cross-hazard),Auto-tagged (sector/keywords),,,
E23,Existing / Committed,Nauru Sustainable Urban Development Program,NSUDP: Sanitation Upgrade,System for treatment of sludge from septic tanks to produce nitrogen rich compost for land reclamation,Water & Sanitation,,NUC-W,,,,28.0,2025,,,Appraising,Seeking funding,,Drought & water security,Auto-tagged (sector/keywords),Possible overlap - review,Nauru Sustainable Urban Development Program,Named as a component of the Nauru Sustainable Urban Development Program - check whether its capital is already included in that program's own figure before summing both.
E24,Existing / Committed,,Resilient Coastal Fisheries & Aquaculture,Program to strengthen artisinal fisheries & promote aquaculure,Agriculture & Food,Nationwide,NFMRA/Ministry of Fisheries,Grant,Adaptation Fund,,0.8,2023,,,Approved,Seeking funding,Marine/Ecosystem Change,Food insecurity,Recorded in source,,,
E25,Existing / Committed,,Sanitation Upgrade (Topside),Deploy modern sewage collection & treatment systems for new Topside community under HGI,Water & Sanitation,"Topside Plateau, Central Nauru",Department of Infrastructure Development (DoID),Grant/Loan (Planned),NSRUDP,,19.6,,,,Pipeline,Seeking funding,Public Health/Water Quality,Drought & water security,Recorded in source,,,
E26,Existing / Committed,,Micronesian Games,Comprehensive infrastructure upgrades for hosting regional Micronesian Games 2026: new sports facilities & support services [PRIF_Nauru..._final_web | PDF],Housing & Community,Yaren District,Department of Sports,Grant,Pacific Games; Govt of Nauru,,27.200000000000003,,,,Pipeline,Seeking funding,NA,General climate resilience,Recorded in source,,,
E27,Existing / Committed,,Boe Low-Income Settlement (Renal Dialysis Unit),Construct a new building for renal dialysis services,Health,Boe District,Department of Health,Public Capital Expenditure,Nauru Govt Budget,,1.4,,,,Pipeline,Seeking funding,Health Crisis,Climate-health risks,Recorded in source,,,
E28,Existing / Committed,,RON Hospital Redevelopment (Phased),Major redevelopment & expansion of Republic of Nauru (RON) Hospital facilities of modern healthcare,Health,Yaren District,Department of Health,Grant/Loan (Proposed),Grant/Loan (Proposed),,93,,,,Pipeline,Seeking funding,Health Crisis,Climate-health risks,Recorded in source,,,
E29,Existing / Committed,,Redevelopment of Naoero Public Health Centre,Reconstruct and modernise the Naoero Public Health Centre to expand outpatient and preventive health services,Health,Aiwo,Department of Health,Grant/Loan (Planned),TBD,,53,,,,Pipeline,Seeking funding,Health Crisis,Climate-health risks,Recorded in source,,,
E30,Existing / Committed,,Assess the condition of groundwater supplies (2030),Technical and financial support,Water & Sanitation,Nauru,,Technical Assistance,,,,2026,,,Proposed,Seeking funding,"Water insecurity, drought",Drought & water security,Recorded in source,,,
E31,Existing / Committed,SMARTEN,Install Electric Reverse Osmosis Unit,,Water & Sanitation,,,,,,,2026,,,,Unspecified,"Water insecurity, drought",Drought & water security,Recorded in source,,,
E32,Existing / Committed,,Maintain ongoing agriculture technical trials,"The Govt. has undertaken programmes in agriculture and fisheries/aquaculture to trial methods to develop domestic food production, but they require further development and support. There have been a number of small-scale and trial projects - vegetable farm, piggery, seedling distribution, kitchen gardens and public education initiatives. ",Agriculture & Food,,,,,,,2026,,,,Unspecified,Food insecurity,Food insecurity,Recorded in source,,,
E33,Existing / Committed,,Green Harvest Initiative,"Proposal to establish a climate-resilient large-scale fruit tree farming system that not only ensures year-round, affordable, and accessible fruit productions for all Nauruans, but also restores the environment and creates lasting benefits for future generations through the enhancement of food security, biodiversity, soil health and ecological balance.",Agriculture & Food,,Department of Environmental Management and Agriculture (DEMA),Grant,,,0.769,2026,,,Proposed,Seeking funding,Food insecurity,Food insecurity,Recorded in source,,,
E34,Existing / Committed,,Transforming Nauru's Food Systems through Climate Smart Agriculture Proejct,"Will introduce agriculture techniques that are nature-positive, resilient, and sustainable. ",Agriculture & Food,,,Grant,"UNDP, GEF",,8,2026,,,Proposed,Seeking funding,,Food insecurity,Auto-tagged (sector/keywords),,,
E35,Existing / Committed,,Establish Terrestial Protected Area in Anhibare Bya,"Sustainable land management, including designation of 59 ha if the Key Bio Diversity Area Anibare Bay",Environment & Biodiversity,,,Grant,GEF,,3.5,2026,,,Funded,Funded,,Land & marine environment,Auto-tagged (sector/keywords),,,
