ID,Track,Program,Project Name,Description,Sector,Location,Lead Organisation,Financial Instrument,Funding Source (raw),Partners,Capital (AUD m),Start Year,End Year,Phase,Status,Funding Outcome,Hazard Group,Duplicate Status,Duplicate Of,Notes
C01,Commonwealth Tracker (Past),,Transforming Nauru’s Food Systems through Climate Smart Agriculture,,Environment & Biodiversity,TBC,TBC,Grant,Global Environment Facility (GEF),Global Environment Facility (GEF),9.01,2024,2031,,Under implementation,Funded,Land & marine environment,,,"Sectoral theme as recorded in source: Climate change, biodiversity, land degradation"
C02,Commonwealth Tracker (Past),,Eighth Operational Phase of the GEF Small Grants Programme (Part 1),,Environment & Biodiversity,TBC,TBC,Grant,Global Environment Facility (GEF),Global Environment Facility (GEF),0.27,2023,2027,,Under implementation,Funded,Land & marine environment,,,"Sectoral theme as recorded in source: Biodiversity, climate change, land degradation"
C03,Commonwealth Tracker (Past),,Supporting Mainstreamed Achievement of Roadmap Targets on Energy in Nauru (SMARTEN),,Climate Change (General),TBC,TBC,Grant,Global Environment Facility (GEF),Global Environment Facility (GEF),5.03,2018,2022,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change
C04,Commonwealth Tracker (Past),,Technology Needs Assessments – Phase III (TNA Phase III) – (23 countries including Nauru),,Climate Change (General),TBC,TBC,Grant,Global Environment Facility (GEF),Global Environment Facility (GEF),9.46,2017,2020,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change
C05,Commonwealth Tracker (Past),,Umbrella Programme for Preparation of National Communications and Biennial Update Reports to the UNFCCC (to support eighteen (18) developing countries including Nauru),,Climate Change (General),TBC,TBC,Grant,Global Environment Facility (GEF),Global Environment Facility (GEF),21.24,2017,2020,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change
C06,Commonwealth Tracker (Past),,Preparation of Intended Nationally Determined Contribution (INDC) to the 2015 Agreement under the United Nations Framework Convention on Climate Change (UNFCCC),,Climate Change (General),TBC,TBC,Grant,Global Environment Facility (GEF),Global Environment Facility (GEF),0.33,2015,2015,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change
C07,Commonwealth Tracker (Past),,R2R: Implementing a ‘Ridge to Reef’ Approach to Protecting Biodiversity and Ecosystem Functions in Nauru (R2R Nauru),,Multi-Sector,TBC,TBC,Grant,Global Environment Facility (GEF),Global Environment Facility (GEF),2.64,2015,2022,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector (biodiversity climate change international waters land degradation)
C08,Commonwealth Tracker (Past),,Umbrella Programme for National Communication to the UNFCCC (to support 12 Small Island Developing States and Least Developed Countries),,Climate Change (General),TBC,TBC,Grant,Global Environment Facility (GEF),Global Environment Facility (GEF),9.42,2013,2017,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change
C09,Commonwealth Tracker (Past),,GEF SGP Fifth Operational Phase – Implementing the Program Using STAR Resources I to support,,Multi-Sector,TBC,TBC,Grant,Global Environment Facility (GEF),Global Environment Facility (GEF),1.2,2013,2022,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector (biodiversity climate change international waters land degradation)
C10,Commonwealth Tracker (Past),,"PAS: Low Carbon-Energy Islands – Accelerating the Use of Energy Efficient and Renewable Energy Technologies in Tuvalu, Niue and Nauru",,Climate Change (General),TBC,TBC,Grant,Global Environment Facility (GEF),Global Environment Facility (GEF),1.29,2011,2014,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change
